iter	Passed	Remaining
0	0	72
1	1	66
2	2	67
3	2	66
4	3	64
5	4	63
6	4	62
7	5	61
8	5	60
9	6	58
10	7	57
11	7	56
12	8	56
13	9	55
14	9	54
15	10	53
16	10	52
17	11	52
18	12	51
19	12	51
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	37	28
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	50	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	59	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
